dataset,model,test_auc,test_eer,oof_auc,oof_eer,cv_auc,cv_auc_sd,cv_eer,cv_eer_sd,fit_s
nuh,MLP-Cortex[v2_dalefb],0.6868131868131868,0.3846153846153846,0.7261904761904762,0.37037037037037035,0.7796501377410469,0.10697916623867482,0.2789696969696969,0.09050650251360497,8.085564613342285
nuh,MLP-Cortex[v3_base],0.6744505494505495,0.35714285714285715,0.7896825396825397,0.25,0.7484159779614324,0.09611905810691333,0.29115151515151516,0.10512634403120083,4.466503143310547
nuh,MLP-Cortex[v3_kwta25],0.6744505494505494,0.3846153846153846,0.7129629629629629,0.33333333333333337,0.7600468319559229,0.10031029600304545,0.3127272727272727,0.10059967121003217,8.670173168182373
nuh,MLP-Cortex[v3_sleep25],0.6909340659340658,0.39285714285714285,0.7248677248677248,0.35714285714285715,0.7240165289256199,0.11609811427892465,0.32551515151515154,0.11416618306386486,8.675728559494019
nuh,MLP-Cortex[v3_guard25],0.6497252747252747,0.3846153846153846,0.6653439153439153,0.39285714285714285,0.7572727272727273,0.09389437697286894,0.30187878787878786,0.08242232618093363,13.089263916015625
wdbc,LogReg,0.9927248677248677,0.04761904761904767,0.9912487100103199,0.028070175438596492,0.9952076628591533,0.0054834380667601245,0.028889772744997128,0.01971452567572474,0.014534235000610352
wdbc,RandomForest,0.9771825396825398,0.04761904761904767,0.993312693498452,0.03529411764705881,0.9902666905827731,0.008624163830615976,0.04110193050045137,0.020775031458256047,1.3314406871795654
wdbc,MLP-BP,0.9894179894179894,0.0714285714285714,0.9892879256965944,0.02941176470588236,0.99492410102302,0.005661329434411412,0.03232350173391773,0.018875182881242146,0.673384428024292
wdbc,MLP-PC,0.9940476190476191,0.04761904761904767,0.9913519091847265,0.02941176470588236,0.9922905131044666,0.010899538958125288,0.028171717644367513,0.017938780227625097,13.485273599624634
wdbc,MLP-FF,0.9880952380952381,0.06944444444444445,0.9924871001031992,0.02941176470588236,0.993683933922224,0.008031085429190362,0.02795332719833212,0.01720733228447831,2.963564157485962
wdbc,MLP-CMA-ES,0.9837962962962963,0.06944444444444445,0.9891434468524252,0.02456140350877193,0.9936635229118034,0.007650706707958835,0.031530136893713714,0.019535042651528087,12.741583585739136
wdbc,TabPFN,0.9970238095238095,0.023809523809523836,0.996078431372549,0.031578947368421054,0.9972680007694745,0.004101278994385663,0.022880461060939293,0.018542327911916196,9.914044857025146
wdbc,MLP-Cortex[control],0.9940476190476191,0.04761904761904767,0.9973787409700723,0.01764705882352946,0.9962897236996484,0.005460433902157929,0.024211288402248128,0.02103061295363271,14.082635402679443
wdbc,MLP-Cortex[full],0.9735449735449735,0.04761904761904767,0.9871517027863776,0.02941176470588236,0.9889519892828115,0.011403627838440816,0.04088746080353996,0.02334131320546072,41.09291076660156
wdbc,MLP-Cortex[no_kp],0.9880952380952381,0.05555555555555555,0.978452012383901,0.06470588235294117,0.9901715980638354,0.009494523865399923,0.04592170594627195,0.026946601612597085,40.66734981536865
wdbc,MLP-Cortex[no_bound],0.9864417989417988,0.04761904761904767,0.9856862745098041,0.03529411764705881,0.9907857285833866,0.008043652512205958,0.041583146274564546,0.024576606577002988,36.13235664367676
wdbc,MLP-Cortex[no_kwta],0.9786706349206349,0.0714285714285714,0.9665118679050568,0.08235294117647063,0.9661840335726676,0.021748675649658135,0.07923127713212055,0.03340123133355615,18.670203924179077
wdbc,MLP-Cortex[no_dale],0.984457671957672,0.04761904761904767,0.9965531475748194,0.02352941176470591,0.993498965368438,0.0064537062603333625,0.0330664347844171,0.019277740149746404,40.56097984313965
wdbc,MLP-Cortex[no_homeo],0.9874338624338623,0.04761904761904767,0.9897626418988648,0.04912280701754386,0.9877151713034451,0.014505112406143416,0.04075400765345782,0.022520287997517978,37.69085335731506
wdbc,MLP-Cortex[no_kwta_homeo],0.9917328042328042,0.04761904761904767,0.9957894736842106,0.02352941176470591,0.9956444784122479,0.004610091784844779,0.028301800466884002,0.018737332953122323,15.973130941390991
wdbc,MLP-Cortex[v2_full],0.9904100529100529,0.04761904761904767,0.9917027863777089,0.02941176470588236,0.993760322486166,0.006520961936408305,0.03416727756721206,0.020612665552444315,43.04157114028931
wdbc,MLP-Cortex[v2_s10],0.9837962962962963,0.04761904761904767,0.9882043343653251,0.031578947368421054,0.9691861266652455,0.09627674381235655,0.05937710716261623,0.09173901584680624,41.555663108825684
wdbc,MLP-Cortex[v2_s05],0.9563492063492064,0.08333333333333333,0.8741073271413828,0.21176470588235297,0.7139411685444276,0.3773428785503168,0.3051878870882578,0.3502004176964296,40.795517921447754
wdbc,MLP-Cortex[v2_dalefb],0.9933862433862434,0.04761904761904767,0.9919298245614034,0.05882352941176472,0.9953498033853423,0.005806324094520896,0.028160123531889014,0.02086726204844815,42.46575951576233
wdbc,MLP-Cortex[v3_base],0.9940476190476191,0.04761904761904767,0.9958307533539732,0.02352941176470591,0.9963942180213061,0.004121314152792987,0.026298254644143947,0.019546541181442806,29.279603004455566
wdbc,MLP-Cortex[v3_kwta25],0.9917328042328042,0.05555555555555555,0.99124871001032,0.02941176470588236,0.9947565496337196,0.008843294144178301,0.026312864265697563,0.021040795950542462,58.89958953857422
wdbc,MLP-Cortex[v3_sleep25],0.9957010582010581,0.027777777777777776,0.9870381836945306,0.042105263157894736,0.9924275974538013,0.005852247358517055,0.04088843136337405,0.019503169011790004,51.93105149269104
wdbc,MLP-Cortex[v3_guard25],0.9953703703703703,0.041666666666666664,0.9919711042311662,0.04117647058823526,0.9911390478963358,0.010847170650040263,0.036487997753965676,0.021806994871326105,56.68339276313782
support2,LogReg,0.8920936412408438,0.18644067796610164,0.8972569527333494,0.1811440677966102,0.8962514605922781,0.006236483547767081,0.18251058536769232,0.009607567308801699,0.18029236793518066
support2,RandomForest,0.8873553542485959,0.18855932203389836,0.8963506591511603,0.17796610169491522,0.8939723084268323,0.008397813080663005,0.17890106169040612,0.007409715662694253,14.581036567687988
support2,MLP-BP,0.8790975110251159,0.20127118644067798,0.8828086718347552,0.194385593220339,0.8874693746780414,0.004971498588862759,0.19170100890804237,0.006321367377348989,12.71251630783081
support2,MLP-PC,0.8807151562362578,0.2033898305084746,0.8929586593490471,0.18439584877687176,0.8933764495985728,0.007139830678287969,0.18173600030154163,0.006992627700818699,220.63996005058289
support2,MLP-FF,0.8907508386626628,0.18680504077094143,0.8970365878365645,0.17865085248332097,0.8959470920078904,0.0069520589929073584,0.17864362804839745,0.007809585013210123,99.55682110786438
support2,MLP-CMA-ES,0.8624404769383474,0.2076271186440678,0.8711961779598195,0.20391949152542377,0.8729388373057254,0.008531438597909847,0.1989279566785189,0.012539963922828778,289.607784986496
support2,TabPFN,0.897001545400862,0.1808747220163084,0.9041171230101392,0.17584745762711862,0.9023969418652863,0.0065686593193788525,0.17583614981593396,0.0072125562853898335,548.8080215454102
support2,MLP-Cortex[control],0.8778960560867435,0.19279661016949157,0.889530537372316,0.18606375092661231,0.891197811310324,0.008959476497078836,0.18324842004749278,0.008300707464213254,198.18002128601074
support2,MLP-Cortex[full],0.7879455591712632,0.270616038298715,0.8426047896433014,0.20815677966101698,0.8186770489125657,0.048581008456814026,0.24397102010801142,0.05102368863782637,548.163834810257
support2,MLP-Cortex[no_homeo],0.8845582415097184,0.18606375092661231,0.8814464339561006,0.20014825796886582,0.8849452199369274,0.011154619961323158,0.196074304883718,0.012637391457923973,507.0946764945984
support2,MLP-Cortex[no_kwta_homeo],0.893536957696222,0.18432203389830504,0.8957036010667034,0.18167372881355937,0.8945559171263083,0.008657594378830803,0.18191315601010163,0.008520527541120565,237.85909867286682
support2,MLP-Cortex[v2_full],0.8726080838285737,0.19125277983691624,0.8655709345277732,0.20107487027427723,0.8435493648779385,0.052976582689671516,0.22282167581761758,0.03775867475663643,641.5294637680054
support2,MLP-Cortex[v2_s10],0.8447720219622822,0.2127501853224611,0.8139951930023496,0.24796145292809488,0.7838196215652523,0.04123440627168982,0.28172598836659235,0.04794767656084894,624.4028446674347
support2,MLP-Cortex[v2_s05],0.8188355153220842,0.24152542372881358,0.7900099708980914,0.2679762787249815,0.6933577602995313,0.15788551801258285,0.33665220984095,0.1337577373499438,620.3214433193207
support2,MLP-Cortex[v2_dalefb],0.8743560829742056,0.19703389830508478,0.8638845295793495,0.20626389918458118,0.8730844253747284,0.013423226154213645,0.20241861517005688,0.013135677438056654,645.62815117836
support2,MLP-Cortex[v3_base],0.8211936651128896,0.24091919940696813,0.8505118158774234,0.208117123795404,0.8681446394692867,0.011044869696263098,0.19489860662637734,0.00936805480868708,437.30646228790283
support2,MLP-Cortex[v3_kwta25],0.8246189895842494,0.23093220338983056,0.8509299693118569,0.2097457627118644,0.8581915668857031,0.016800841257404667,0.20355567840584993,0.011785174688082406,758.7431695461273
support2,MLP-Cortex[v3_sleep25],0.8724313992788129,0.20237212750185324,0.8290165207906673,0.2223869532987398,0.8575953939515774,0.00420047023226339,0.20720338983050848,0.011322363742277417,815.9250628948212
support2,MLP-Cortex[v3_base_d2],0.891942870425048,0.18432203389830504,0.8953393364199469,0.1784957627118644,0.8947311881996708,0.006445555840328798,0.17868414770514254,0.009985296860675145,338.4488101005554
support2,MLP-Cortex[v3_base_nofb],0.8505264414318202,0.22535211267605634,0.8722500031410587,0.1965042372881356,0.8789869457601991,0.007181493210909366,0.1917964970913797,0.011616409062395278,339.67183661460876
support2,MLP-Cortex[v3_base_e3],0.8701078011332939,0.2033898305084746,0.8860573117563543,0.18379237288135597,0.88419042354035,0.004652175889935808,0.18987008581372264,0.004888590319882834,341.26916694641113
support2,MLP-Cortex[v6_nokp],0.8685121433327889,0.2055084745762712,0.8745200069731502,0.1936619718309859,0.8758245278988831,0.010114374138614593,0.19411773944290184,0.011659357688958979,286.36789894104004
support2,MLP-Cortex[v6_mirror],0.8725641090072997,0.18977020014825796,0.8749813990432336,0.18884358784284655,0.8780527949139978,0.009600263600229668,0.1909587767461145,0.006144443175014122,287.2130033969879
support2,MLP-Cortex[v6_d2_e3],0.8924737093389956,0.18432203389830504,0.8963580210074004,0.1784655300222387,0.894787256096795,0.007615679338943178,0.18080247766707291,0.008441719773987529,285.08028960227966
