config,seeds,acc,acc_sd,forgetting,fit_min
g9a_w512s5_surp05,2,0.18925,0.00021213203435598016,0.9830335093894572,9.049631428718566
g9d_dg8_w256s10_night,1,0.727,,0.28489557706745205,2.089504595597585
g9d_dg8f10_w256s10_night,1,0.7915,,0.20166041426475048,2.1505266626675925
g9d_dg32_w256s10_night,1,0.7505,,0.2434096559286,2.099911117553711
g9_dg8f10_w256s10_night,1,0.8767,,0.08961603588474401,2.200040316581726
g9d_nodg_w256s10_night,1,0.8333,,0.16363669803411224,0.6796554287274679
g9_dg8f10_w512s5_refr,1,0.8723,,0.11901950762672345,67.83755715688069
g9a_w512s5_br64,3,0.9055,0.004550824101193113,0.07293693731593383,24.304057020611236
g9a_w512s5_br32,3,0.9070333333333332,0.0035949038002891795,0.07512003474385155,21.262666198942394
g9a_w512s5_br16,3,0.9083333333333333,0.0005507570547286327,0.06535988499595542,20.56526414685779
g9a_w512s5_burst8_64,3,0.8675333333333334,0.006000277771348039,0.11244013553550665,12.563106710380977
g9a_w512s5_burst16_128,3,0.8763333333333333,0.005961822987420243,0.10942809230451965,12.329883119795058
g9a_w512s5_burst4_32,3,0.6806666666666666,0.0303793241092249,0.37452778210643495,13.120226477252112
g9a_w512s5_burst32_256,3,0.7547333333333333,0.0588965477199923,0.27330024440550155,13.300900385114883
g9a_w512s5_pburst8_t32,3,0.8612333333333333,0.019505469318458674,0.11694957720328224,12.521414687898423
g9a_w512s5_pburst8_t64,3,0.7447666666666667,0.03187386599289982,0.25137732776211713,11.403966470559437
g9a_w512s5_pburst16_t64,3,0.8989666666666666,0.0013650396819628835,0.045330258831201065,15.418968411286672
g9a_w512s5_sburst8_03,1,0.1917,,0.9892819509920621,15.698824687798817
g9a_w512s5_sburst8_05,1,0.1911,,0.9866560647211473,13.472580969333649
g9a_w512s5_burst64_1024,1,0.6911,,0.31656113316931145,11.95315323670705
g9a_w512s5_burst128_2048,1,0.6984,,0.26314901802171564,11.904012473424276
g9a_w512s5_burst64_512,1,0.6269,,0.44593749502530955,13.896347284317017
g9a_w512s5_pburst8_t32_br64,3,0.8333,0.04103790930347207,0.15442865974281225,10.908548516697353
g9a_w512s5_pburst16_t64_br64,3,0.8950333333333332,0.0048387326164330575,0.05821071396734531,10.598408410284256
g9a_w512s5_burst16_128_br64,3,0.8854333333333333,0.0017387735140993326,0.08585736553241678,10.371934025817447
g9a_w512s5_pburst8_t32_br32,3,0.8614999999999999,0.008201829064300187,0.1087397144242711,9.41520332230462
g9a_w512s5_cad2_br64,3,0.9130666666666666,0.0028571547618799395,0.06251061054064015,13.625639977720049
g9a_w512s5_cad4_br64,3,0.8660666666666667,0.013948954560587465,0.1300392916337671,10.682642103566064
g9a_w512s5_br8,3,0.9054333333333333,0.002657693235370308,0.0655226100138435,16.741701005564796
g9a_w512s5_br4,3,0.8965333333333333,0.003607399802258295,0.07492066960140138,15.907673931121826
g9a_w512s5_pburst16_t64_br16,3,0.8824666666666667,0.010084807054839136,0.07215845983584614,9.508638762103185
g9a_w512s5_burst16_128_br16,3,0.8588333333333332,0.00372871738448131,0.12942277221261814,8.372384950849744
g9a_w512s5_br16_night,3,0.9088666666666666,0.0026764404221527745,0.04220355666322037,16.216261051760778
g9a_w512s5_br16_K200,3,0.8177666666666666,0.029217175314073984,0.203020932389307,13.953460530440013
